ASMID,SPECIESIN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCF_000225545.1_AOL24927_1.0,Orbilia oligospora ATCC 24927,ATCC 24927,PRJNA41495,756982,dikarya,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Orbilia,Orbilia oligospora,F2BFCA18
GCA_036971405.1_ASM3697140v1,Orbilia quercus,CGMCC 3.6762,PRJNA791178,315950,dikarya,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Orbilia,Orbilia quercus,FFFB015E
GCA_003788565.2_Ascim1,Ascobolus immersus RN42,RN42,PRJNA346638,1160509,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Ascobolaceae,Ascobolus,Ascobolus immersus,FC82CE09
GCA_004786065.1_Ascni1,Ascodesmis nigricans,CBS 389.68,PRJNA247594,341454,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Ascodesmidaceae,Ascodesmis,Ascodesmis nigricans,F6720CE4
GCA_027569015.1_ASM2756901v1,Ascodesmis sphaerospora,NRRL 22422,PRJNA852164,47183,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Ascodesmidaceae,Ascodesmis,Ascodesmis sphaerospora,F0635A13
GCA_003788595.2_Chove1,Choiromyces venosus 120613-1,120613-1,PRJNA204096,1336337,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Tuberaceae,Choiromyces,Choiromyces venosus,F353016A
GCA_040802895.1_ASM4080289v1,Discina geogenia,ACD0625,PRJNA994929,3063980,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Discina,Discina geogenia,F22385DF
GCA_040803005.1_ASM4080300v1,Discina gigas,ACD0604,PRJNA994929,1032678,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Discina,Discina gigas,FD8E7D5E
GCA_024516215.1_Geocar1,Geopyxis carbonaria,CBS 144460,PRJNA500285,49969,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pyronemataceae,Geopyxis,Geopyxis carbonaria,F3C46C5A
GCA_040803075.1_ASM4080307v1,Gyromitra accumbens,ACD0615,PRJNA994929,3049824,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra accumbens,F162A3E2
GCA_040803865.1_ASM4080386v1,Gyromitra americanigigas,MICH352016,PRJNA994929,2944586,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra americanigigas,FFCA65B1
GCA_040804105.1_ASM4080410v1,Gyromitra ancilis,MICH352026,PRJNA994929,2508942,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra ancilis,F94DFBA4
GCA_040803815.1_ASM4080381v1,Gyromitra antarctica,FLAS-F-65994,PRJNA994929,2728038,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra antarctica,F74528AB
GCA_040803235.1_ASM4080323v1,Gyromitra brunnea,MICH352048,PRJNA994929,1385988,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra brunnea,F5E97B22
GCA_040803995.1_ASM4080399v1,Gyromitra californica,MICH352088,PRJNA994929,265115,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra californica,F34CEB69
GCA_040803875.1_ASM4080387v1,Gyromitra caroliniana,MICH352092,PRJNA994929,1385989,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra caroliniana,FDFEA9BC
GCA_038503075.1_ASM3850307v1,Gyromitra esculenta,21701,PRJNA1096980,33161,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra esculenta,F1EA517E
GCA_040803135.1_ASM4080313v1,Gyromitra fastigiata,LE247912,PRJNA994929,1385990,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra fastigiata,FB087FA4
GCA_040804015.1_ASM4080401v1,Gyromitra korfii,MICH352062,PRJNA994929,1385991,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra korfii,F928227F
GCA_040803345.1_ASM4080334v1,Gyromitra larryi,FLAS-F-61941,PRJNA994929,3063981,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra larryi,F68339DD
GCA_040803895.1_ASM4080389v1,Gyromitra leucoxantha,MICH352087,PRJNA994929,1385992,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra leucoxantha,F36A162E
GCA_040802955.1_ASM4080295v1,Gyromitra martinii,ACD0614,PRJNA994929,2723787,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra martinii,FCD1EBCC
GCA_040803055.1_ASM4080305v1,Gyromitra mcknightii,ACD0560,PRJNA994929,3063982,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra mcknightii,FA20FA65
GCA_040802845.1_ASM4080284v1,Gyromitra melaleuca,MICH346528,PRJNA994929,2303735,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra melaleuca,FCE9E38C
