ASMID,SPECIES,LOCUSTAG
Mars-53.bin.43,Fungi sp.,MARS53BIN43
Mars-53.bin.66,Fungi sp.,MARS53BIN66
Mars-53.bin.9,Fungi sp.,MARS53BIN9
Mars-54.bin.17,Fungi sp.,MARS54BIN17
Mars-54.bin.38,Fungi sp.,MARS54BIN38
Mars-54.bin.43,Fungi sp.,MARS54BIN43
Mars-55.bin.28,Fungi sp.,MARS55BIN28
Mars-55.bin.48,Fungi sp.,MARS55BIN48
Mars-55.bin.4,Fungi sp.,MARS55BIN4
Mars-55.bin.6,Fungi sp.,MARS55BIN6
Mars-56.bin.111,Fungi sp.,MARS56BIN111
Mars-57b.bin.170,Fungi sp.,MARS57bBIN170
Mars-57b.bin.28,Fungi sp.,MARS57bBIN28
Mars-57b.bin.53,Fungi sp.,MARS57bBIN53
Mars-57b.bin.96,Fungi sp.,MARS57bBIN96
Mars-58.bin.107,Fungi sp.,MARS58BIN107
Mars-58.bin.15,Fungi sp.,MARS58BIN15
Mars-5.bin.32,Fungi sp.,MARS5BIN32
Mars-5.bin.41,Fungi sp.,MARS5BIN41
Mars-60b.bin.40,Fungi sp.,MARS60bBIN40
Mars-60b.bin.66,Fungi sp.,MARS60bBIN66
Mars-60b.bin.81,Fungi sp.,MARS60bBIN81
Mars-60b.bin.88,Fungi sp.,MARS60bBIN88
Mars-61.bin.38,Fungi sp.,MARS61BIN38
Mars-61.bin.58,Fungi sp.,MARS61BIN58
Mars-62.bin.10,Fungi sp.,MARS62BIN10
Mars-62.bin.17,Fungi sp.,MARS62BIN17
Mars-62.bin.37,Fungi sp.,MARS62BIN37
Mars-62.bin.6,Fungi sp.,MARS62BIN6
Mars-63.bin.30,Fungi sp.,MARS63BIN30
Mars-63.bin.44,Fungi sp.,MARS63BIN44
Mars-63.bin.60,Fungi sp.,MARS63BIN60
Mars-64.bin.101,Fungi sp.,MARS64BIN101
Mars-64.bin.118,Fungi sp.,MARS64BIN118
Mars-64.bin.17,Fungi sp.,MARS64BIN17
Mars-64.bin.18,Fungi sp.,MARS64BIN18
Mars-64.bin.26,Fungi sp.,MARS64BIN26
Mars-64.bin.54,Fungi sp.,MARS64BIN54
Mars-64.bin.82,Fungi sp.,MARS64BIN82
Mars-65.bin.19,Fungi sp.,MARS65BIN19
Mars-65.bin.54,Fungi sp.,MARS65BIN54
Mars-68.bin.26,Fungi sp.,MARS68BIN26
Mars-68.bin.27,Fungi sp.,MARS68BIN27
Mars-69.bin.4,Fungi sp.,MARS69BIN4
Mars-6.bin.17,Fungi sp.,MARS6BIN17
Mars-71.bin.43,Fungi sp.,MARS71BIN43
Mars-71.bin.46,Fungi sp.,MARS71BIN46
Mars-71.bin.78,Fungi sp.,MARS71BIN78
Mars-72.bin.26,Fungi sp.,MARS72BIN26
Mars-73.bin.13,Fungi sp.,MARS73BIN13
Mars-73.bin.31,Fungi sp.,MARS73BIN31
Mars-73.bin.63,Fungi sp.,MARS73BIN63
Mars-74.bin.5,Fungi sp.,MARS74BIN5
Mars-75b.bin.12,Fungi sp.,MARS75bBIN12
Mars-75b.bin.17,Fungi sp.,MARS75bBIN17
Mars-76.bin.31,Fungi sp.,MARS76BIN31
Mars-76.bin.56,Fungi sp.,MARS76BIN56
Mars-76.bin.7,Fungi sp.,MARS76BIN7
Mars-78.bin.14,Fungi sp.,MARS78BIN14
Mars-78.bin.3,Fungi sp.,MARS78BIN3
Mars-78.bin.5,Fungi sp.,MARS78BIN5
Mars-79.bin.22,Fungi sp.,MARS79BIN22
Mars-79.bin.94,Fungi sp.,MARS79BIN94
Mars-7.bin.33,Fungi sp.,MARS7BIN33
Mars-80.bin.109,Fungi sp.,MARS80BIN109
Mars-80.bin.31,Fungi sp.,MARS80BIN31
Mars-81.bin.1,Fungi sp.,MARS81BIN1
Mars-82.bin.10,Fungi sp.,MARS82BIN10
Mars-82.bin.13,Fungi sp.,MARS82BIN13
Mars-82.bin.1,Fungi sp.,MARS82BIN1
Mars-82.bin.5,Fungi sp.,MARS82BIN5
Mars-82.bin.9,Fungi sp.,MARS82BIN9
Mars-83.bin.14,Fungi sp.,MARS83BIN14
Mars-83.bin.20,Fungi sp.,MARS83BIN20
Mars-83.bin.9,Fungi sp.,MARS83BIN9
Mars-84.bin.107,Fungi sp.,MARS84BIN107
Mars-84.bin.127,Fungi sp.,MARS84BIN127
Mars-84.bin.139,Fungi sp.,MARS84BIN139
Mars-84.bin.14,Fungi sp.,MARS84BIN14
Mars-85b.bin.121,Fungi sp.,MARS85bBIN121
Mars-85b.bin.160,Fungi sp.,MARS85bBIN160
Mars-85b.bin.41,Fungi sp.,MARS85bBIN41
Mars-85b.bin.93,Fungi sp.,MARS85bBIN93
Mars-86.bin.11,Fungi sp.,MARS86BIN11
Mars-86.bin.1,Fungi sp.,MARS86BIN1
Mars-86.bin.20,Fungi sp.,MARS86BIN20
Mars-87b.bin.14,Fungi sp.,MARS87bBIN14
Mars-87b.bin.15,Fungi sp.,MARS87bBIN15
Mars-89b.bin.127,Fungi sp.,MARS89bBIN127
Mars-89b.bin.57,Fungi sp.,MARS89bBIN57
Mars-89b.bin.69,Fungi sp.,MARS89bBIN69
Mars-89b.bin.76,Fungi sp.,MARS89bBIN76
Mars-8b.bin.18,Fungi sp.,MARS8bBIN18
Mars-91.bin.12,Fungi sp.,MARS91BIN12
Mars-91.bin.27,Fungi sp.,MARS91BIN27
Mars-91.bin.36,Fungi sp.,MARS91BIN36
Mars-93.bin.105,Fungi sp.,MARS93BIN105
Mars-93.bin.55,Fungi sp.,MARS93BIN55
Mars-93.bin.5,Fungi sp.,MARS93BIN5
Mars-93.bin.97,Fungi sp.,MARS93BIN97
Mars-94.bin.130,Fungi sp.,MARS94BIN130
Mars-95.bin.12,Fungi sp.,MARS95BIN12
Mars-95.bin.15,Fungi sp.,MARS95BIN15
Mars-95.bin.17,Fungi sp.,MARS95BIN17
Mars-9.bin.1,Fungi sp.,MARS9BIN1
Mars-9.bin.52,Fungi sp.,MARS9BIN52
