ASMID,SPECIESIN,STRAIN,VERSION,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
Agabi_varbisH97_2,Agaricus bisporus var. bisporus,H97,v2.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,Agabi_varbisH97_2
Agahy1,Agaricostilbum hyphaenes,ATCC MYA-4628,v1.0,,,dikarya,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,,Agaricostilbales,Agaricostilbaceae,Sterigmatomyces,Sterigmatomyces hyphaenes,Agahy1
Agrped1,Agrocybe pediades,AH 40210,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,Agrped1
Agrpra2,Agrocybe praecox,OKM 6292,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,Agrpra2
Albpec1,Xanthoporus peckianus,DAOM 52321,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Steccherinaceae,Xanthoporus,Xanthoporus peckianus,Albpec1
Alikh1,Aliquandostipite khaoyaiensis,CBS 118232,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Jahnulales,Aliquandostipitaceae,Aliquandostipite,Aliquandostipite khaoyaiensis,Alikh1
Altal1,Alternaria alternata,SRC1lrK2f,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,Altal1
Altbr1,Alternaria brassicicola,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,Altbr1
Altro1,Alternaria rosae,MPI-PUGE-AT-0040,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,Altro1
Amaapr1,Amanita muscaria var. formosa,2016PMI152,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita muscaria,Amaapr1
Amamu1,Amanita muscaria,Koide,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita muscaria,Amamu1
Amarub1,Amanita rubescens,Pilba,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita rubescens,Amarub1
Amath1,Amanita thiersii,Skay4041,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita thiersii,Amath1
Ambph1,Ambrosiozyma philentoma,NRRL Y-7523,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma philentoma,Ambph1
Amnli1,Amniculicola lignicola,CBS 123094,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Amniculicolaceae,Amniculicola,Amniculicola lignicola,Amnli1
Amore1,Amorphotheca resinae,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Amorphothecaceae,Amorphotheca,Amorphotheca resinae,Amore1
Ampqui1,Ampelomyces quisqualis,HMLAC05119,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Phaeosphaeriaceae,Ampelomyces,Ampelomyces quisqualis,Ampqui1
AmpWSBS2006_1,Amphiamblys sp. WSBS2006,WSBS2006,v1.0,,,fungi,Microsporidia,,,,,Amphiacanthidae,Amphiamblys,Amphiamblys sp. WSBS2006,AmpWSBS2006_1
Amycha1,Amylostereum chailletii,DWAch2,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum chailletii,Amycha1
Amyenc1,Amylocarpus encephaloides,TRa018bII,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,,Amylocarpus,Amylocarpus encephaloides,Amyenc1
Amylap1_1,Amylocystis lapponica,SKaAmylap13,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Postiaceae,Amylocystis,Amylocystis lapponica,Amylap1_1
Amyrou1,Amylomyces rouxii,NRRL 5866,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Amylomyces,Amylomyces rouxii,Amyrou1
Anasp1,Anaeromyces robustus,,v1.0,,,fungi,Chytridiomycota,Neocallimastigomycotina,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Anaeromyces,Anaeromyces robustus,Anasp1
Anobom1,Anomoporia bombycina,ATCC 64506,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Amylocorticiales,Amylocorticiaceae,Anomoporia,Anomoporia bombycina,Anobom1
Anomyc1,Anomoporia myceliosa,MJL_4413,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Amylocorticiales,Amylocorticiaceae,Anomoloma,Anomoloma myceliosum,Anomyc1
Antav1,Anthostoma avocetta,NRRL 3190,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Diatrypaceae,Anthostoma,Anthostoma avocetta,Antav1
Antlo1,Antonospora locustae,HM-2013,v1.0,,,fungi,Microsporidia,,,,,,Antonospora,Antonospora locustae,Antlo1
Antser1,Antrodia serialis,Sig1Antser10,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis serialis,Antser1
Apimo1,Apiospora montagnei,NRRL 25634,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Apiosporaceae,Apiospora,Apiospora montagnei,Apimo1
Aplpr1,Aplosporella prunicola,CBS 121.167,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Aplosporellaceae,Aplosporella,Aplosporella prunicola,Aplpr1
Armcep1,Armillaria cepistipes,B5,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria cepistipes,Armcep1
Armga1,Armillaria gallica,21-2,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria gallica,Armga1
Armlut1,Armillaria luteobubalina,HWK02,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria luteobubalina,Armlut1
Armme1_1,Armillaria mellea,DSM 3731,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria mellea,Armme1_1
Armost1,Armillaria solidipes,28-4,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria solidipes,Armost1
Armosto1,Armillaria ostoyae,C189,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria ostoyae,Armosto1
Artbe1,Arthroderma benhamiae,CBS 112371,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton benhamiae,Artbe1
Artele1122_1,Artolenzites elegans,CIRM-BRFM_1122,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Trametes,Trametes elegans,Artele1122_1
Artfe1_2,Arthroascus fermentans,17710,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Ascoideales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fermentans,Artfe1_2
Artol1,Orbilia oligospora,ATCC 24927,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Orbilia,Orbilia oligospora,Artol1
Arxad1,Blastobotrys adeninivorans,,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys adeninivorans,Arxad1
Ascap1,Ascosphaera apis,ARSEF 7405,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ascosphaeraceae,Ascosphaera,Ascosphaera apis,Ascap1
Ascim1,Ascobolus immersus,RN42,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Ascobolaceae,Ascobolus,Ascobolus immersus,Ascim1
Ascni1,Ascodesmis nigricans,CBS 389.68,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Ascodesmidaceae,Ascodesmis,Ascodesmis nigricans,Ascni1
Ascra1,Ascochyta rabiei,ArDII,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Ascochyta,Ascochyta rabiei,Ascra1
Ascru1,Ascoidea rubescens,NRRL Y17699,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Ascoideales,Ascoideaceae,Ascoidea,Ascoidea rubescens,Ascru1
Ascsa1,Ascocoryne sarcoides,NRRL 50072,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Gelatinodiscaceae,Ascocoryne,Ascocoryne sarcoides,Ascsa1
Ashgo1_1,Eremothecium gossypii,ATCC 10895,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium gossypii,Ashgo1_1
Aspac1,Aspergillus aculeatus,ATCC16872,v1.1,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus aculeatus,Aspac1
Aspacu1,Aspergillus aculeatinus,CBS 121060,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus aculeatinus,Aspacu1
Aspalbe1,Aspergillus albertensis,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,Aspalbe1
Aspalli1,Aspergillus alliaceus,CBS 536.65,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,Aspalli1
Aspara19utr,Aspergillus arachidicola,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus arachidicola,Aspara19utr
Aspave1,Aspergillus avenaceus,IBT_18842,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus avenaceus,Aspave1
Aspber1,Aspergillus bertholletiae,IBT_29228,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus bertholletiae,Aspber1
Aspbom1,Aspergillus bombycis,NRRL 26010,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus bombycis,Aspbom1
Aspbr1,Aspergillus brasiliensis,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brasiliensis,Aspbr1
Aspbru1,Aspergillus brunneoviolaceus,CBS 621.78,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brunneoviolaceus,Aspbru1
Aspca3,Aspergillus carbonarius,ITEM_5010_v3,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus carbonarius,Aspca3
Aspcae1,Aspergillus caelatus,CBS 763.97,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus caelatus,Aspcae1
Aspcal1,Aspergillus calidoustus,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus calidoustus,Aspcal1
Aspcam1,Aspergillus campestris,IBT_28561,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus campestris,Aspcam1
Aspcand1,Aspergillus candidus,CBS 102.13,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus candidus,Aspcand1
Aspcl1,Aspergillus clavatus,NRRL 1,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus clavatus,Aspcl1
Aspcor1,Aspergillus coremiiformis,CBS 553.77,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus coremiiformis,Aspcor1
Aspcos1,Aspergillus costaricensis,CBS 115574,v1.0,PRJNA235080,319631,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus costaricensis,Aspcos1
Aspcri1,Aspergillus cristatus,GZAAS20.1005,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cristatus,Aspcri1
Aspell1,Aspergillus ellipticus,CBS 707.79,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ellipticus,Aspell1
Aspeuc1,Aspergillus eucalypticola,CBS 122712,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus eucalypticola,Aspeuc1
Aspfij1,Aspergillus fijiensis,CBS 313.89,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fijiensis,Aspfij1
Aspfl1,Aspergillus flavus,NRRL 3357,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Aspfl1
Aspfo1,Aspergillus luchuensis,CBS 106.47,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,Aspfo1
Aspfu1,Aspergillus fumigatus,Af293,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspfu1
Aspfu_A1163_1,Aspergillus fumigatus,A1163,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspfu_A1163_1
Aspgl1,Aspergillus glaucus,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus,Aspgl1
Asphet1,Aspergillus heteromorphus,CBS 117.55,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus heteromorphus,Asphet1
Asphom1,Aspergillus homomorphus,CBS 101889,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus homomorphus,Asphom1
Aspibe1,Aspergillus ibericus,CBS 121593,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ibericus,Aspibe1
Aspind1,Aspergillus indologenus,CBS 114.80,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus indologenus,Aspind1
Aspjap1,Aspergillus japonicus,CBS 114.51,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus japonicus,Aspjap1
Aspka1_1,Aspergillus kawachii,IFO_4308,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,Aspka1_1
Asplac1,Aspergillus lacticoffeatus,CBS 101883,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Asplac1
Asplep1,Aspergillus leporis,CBS 151.66,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus leporis,Asplep1
Aspmin1,Aspergillus minisclerotigenes,CBS 117635,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus minisclerotigenes,Aspmin1
Aspneo1,Aspergillus neoniger,CBS 115656,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus neoniger,Aspneo1
Aspni7,Aspergillus niger,ATCC 1015,v4.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspni7
Aspni_bvT_1,Aspergillus niger,van_Tieghem_ATCC 13496,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspni_bvT_1
Aspnid1,Aspergillus nidulans,FGSC A4,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,Aspnid1
Aspni_DSM_1,Aspergillus niger,CBS 513.88,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspni_DSM_1
Aspni_NRRL3_1,Aspergillus niger,NRRL 3,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspni_NRRL3_1
Aspnom1,Aspergillus nomiae,IBT_12657,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nomiae,Aspnom1
Aspnom13137_1,Aspergillus nomiae,NRRL 13137,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nomiae,Aspnom13137_1
Aspnov1,Aspergillus novofumigatus,IBT_16806,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus novofumigatus,Aspnov1
Aspnovo1,Aspergillus novoparasiticus,CBS 126849,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus novoparasiticus,Aspnovo1
Aspoch1,Aspergillus ochraceoroseus,IBT_24754,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceoroseus,Aspoch1
Aspor1,Aspergillus oryzae,RIB40,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,Aspor1
Asppar1,Aspergillus parasiticus,CBS 117618,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus parasiticus,Asppar1
Asppari1,Aspergillus parvisclerotigenus,CBS 121.62,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Asppari1
Aspph1,Aspergillus niger,phoenicis_Corda_Thom_ATCC 13157,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspph1
Asppip1,Aspergillus piperis,CBS 112811,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis,Asppip1
Asppsec1,Aspergillus pseudocaelatus,CBS 117616,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudocaelatus,Asppsec1
Asppsen1,Aspergillus pseudonomiae,CBS 119388,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudonomiae,Asppsen1
Asppset1,Aspergillus pseudotamarii,CBS 117625,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudotamarii,Asppset1
Aspram1,Aspergillus rambellii,SRRC1468,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus rambellii,Aspram1
Aspsac1,Aspergillus saccharolyticus,JOP_1030-1,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus saccharolyticus,Aspsac1
Aspscl1,Aspergillus sclerotioniger,CBS115572,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotioniger,Aspscl1
Aspscle1,Aspergillus sclerotiicarbonarius,CBS 121057,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiicarbonarius,Aspscle1
Aspser1,Aspergillus sergii,CBS 130017,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sergii,Aspser1
Aspste1,Aspergillus steynii,IBT_23096,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus steynii,Aspste1
Aspsy1,Aspergillus sydowii,CBS 593.65,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii,Aspsy1
Asptaic1,Aspergillus taichungensis,IBT_19404,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus taichungensis,Asptaic1
