ASMID,SPECIESIN,STRAIN,VERSION,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
Aaoar1,Aaosphaeria arxii CBS 175.79,CBS 175.79,v1.0,PRJNA234399,1450172,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,,Aaosphaeria,Aaosphaeria arxii,Aaoar1
Abobie1,Abortiporus biennis,CIRM-BRFM 1778,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,Abobie1
Abscae1,Absidia caerulea,NRRL 1315,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea,Abscae1
Absrep1,Absidia repens,NRRL 1336,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens,Absrep1
Acain1,Acaromyces ingoldii,MCA 4198,v1.0,,,dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,Acain1
Acema1,Acephala macrosclerotiorum,EW76-UTF0540,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum,Acema1
Aciaci1,Acidothrix acidophila,CBS 136259,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,,Amplistromataceae,Acidothrix,Acidothrix acidophila,Aciaci1
Aciri1_iso,Acidomyces richmondensis,BFW,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',Aciri1_iso
Acrchr1,Acremonium chrysogenum,ATCC 11550,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Bionectriaceae,Hapsidospora,Hapsidospora chrysogena,Acrchr1
AcreTS7_1,Emericellopsis sp.,TS7,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Bionectriaceae,Emericellopsis,Emericellopsis sp.,AcreTS7_1
