leaf_name,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,STRAIN,LOCUSTAG
Mars-1.bin.89,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-1.bin.89
Mars-23.bin.113,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-23.bin.113
Mars-24.bin.26,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-24.bin.26
Mars-36.bin.40,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-36.bin.40
Mars-63.bin.60,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-63.bin.60
Mars-42.bin.1,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-42.bin.1
Mars-35.bin.58,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-35.bin.58
Mars-18.bin.66,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-18.bin.66
Mars-11.bin.28,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-11.bin.28
Mars-13.bin.92,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-13.bin.92
Mars-14.bin.73,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-14.bin.73
Mars-16.bin.74,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-16.bin.74
Mars-89b.bin.57,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Dirinaria,,,Mars-89b.bin.57
Mars-85b.bin.121,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-85b.bin.121
Mars-57b.bin.28,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-57b.bin.28
Mars-33.bin.87,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-33.bin.87
Mars-42.bin.96,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-42.bin.96
Mars-56.bin.111,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-56.bin.111
Mars-61.bin.38,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-61.bin.38
Mars-64.bin.54,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-64.bin.54
Mars-20.bin.79,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-20.bin.79
Mars-1.bin.54,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-1.bin.54
Mars-29.bin.71,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-29.bin.71
Mars-34.bin.83,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-34.bin.83
Mars-2.bin.151,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-2.bin.151
Mars-83.bin.9,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-83.bin.9
Mars-76.bin.56,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-76.bin.56
Mars-18.bin.86,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-18.bin.86
Mars-17.bin.121,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-17.bin.121
Mars-86.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-86.bin.11
Mars-94.bin.130,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-94.bin.130
Mars-11.bin.60,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-11.bin.60
Mars-18.bin.14,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-18.bin.14
Mars-15.bin.94,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-15.bin.94
Mars-65.bin.19,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Caliciaceae,Dirinaria,,,Mars-65.bin.19
Mars-31.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Physciaceae,Physcia,,,Mars-31.bin.11
Mars-32.bin.1,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Physciaceae,Physcia,,,Mars-32.bin.1
Mars-39.bin.19,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Caliciales,Physciaceae,Physcia,,,Mars-39.bin.19
Mars-24.bin.27,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-24.bin.27
Mars-19.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-19.bin.11
Mars-25.bin.42,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-25.bin.42
Mars-57b.bin.53,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-57b.bin.53
Mars-41.bin.125,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-41.bin.125
Mars-39.bin.88,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-39.bin.88
Mars-44.bin.8,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-44.bin.8
Mars-58.bin.15,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-58.bin.15
Mars-28.bin.42,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-28.bin.42
Mars-45.bin.183,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-45.bin.183
Mars-1.bin.20,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-1.bin.20
Mars-84.bin.14,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-84.bin.14
Mars-53.bin.43,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-53.bin.43
Mars-30.bin.70,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-30.bin.70
Mars-64.bin.18,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-64.bin.18
Mars-60b.bin.88,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-60b.bin.88
Mars-26.bin.52,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-26.bin.52
Mars-27b.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-27b.bin.11
Mars-25.bin.4,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-25.bin.4
Mars-63.bin.30,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-63.bin.30
Mars-16.bin.93,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-16.bin.93
Mars-3.bin.16,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-3.bin.16
Mars-64.bin.17,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-64.bin.17
Mars-30.bin.57,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-30.bin.57
Mars-60b.bin.40,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-60b.bin.40
Mars-2.bin.104,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-2.bin.104
Mars-16.bin.91,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-16.bin.91
Mars-13.bin.85,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-13.bin.85
Mars-18.bin.21,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-18.bin.21
Mars-19.bin.32,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-19.bin.32
Mars-25.bin.11,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-25.bin.11
Mars-24.bin.89,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-24.bin.89
Mars-40.bin.22,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-40.bin.22
Mars-43.bin.48,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-43.bin.48
Mars-46.bin.111,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-46.bin.111
Mars-80.bin.109,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-80.bin.109
Mars-81.bin.1,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-81.bin.1
Mars-2.bin.67,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,,,,,,Mars-2.bin.67
Mars-80.bin.31,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,,,,,,Mars-80.bin.31
Mars-95.bin.15,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,,,,,,Mars-95.bin.15
Mars-52.bin.17,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,,,,,,Mars-52.bin.17
Mars-73.bin.31,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-73.bin.31
Mars-89b.bin.76,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,,Dirinaria,,,Mars-89b.bin.76
Mars-24.bin.8,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Ramalinaceae,Dirinaria,,,Mars-24.bin.8
Mars-23.bin.119,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Ramalinaceae,Dirinaria,,,Mars-23.bin.119
Mars-45.bin.74,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Ramalinaceae,Dirinaria,,,Mars-45.bin.74
Mars-93.bin.5,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Teloschistales,Teloschistaceae,Caloplaca,,,Mars-93.bin.5
Mars-41.bin.73,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Teloschistales,Teloschistaceae,Xanthoria,,,Mars-41.bin.73
Mars-32.bin.89,dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Teloschistales,Teloschistaceae,Xanthoria,,,Mars-32.bin.89
