leaf_name,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,STRAIN,LOCUSTAG
FAB7B167,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Trigonopsis,Trigonopsis californica,NRRL Y-27307,FAB7B167
F17363DD,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Trigonopsis,Trigonopsis variabilis,NRRL Y-1579,F17363DD
F0903E90,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Trigonopsis,Trigonopsis vinaria,NRRL Y-5715,F0903E90
F0F8C45E,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Ascobotryozyma,Ascobotryozyma americana,CBS 8560,F0F8C45E
FBC91FA0,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Ascobotryozyma,Ascobotryozyma cognata,CBS 8753,FBC91FA0
F3AE8958,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Botryozyma,Botryozyma nematodophila,NRRL Y-17705,F3AE8958
F033BF16,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Botryozyma,Botryozyma mucatilis,CBS 9042,F033BF16
Botmuc1,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Botryozyma,,,Botmuc1
FEB1268F,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora phaffii,NRRL Y-48833,FEB1268F
FEB86B74,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora starmeri,NRRL Y-63665,FEB86B74
F5651893,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora ganteri,NRRL Y-17035,F5651893
FF139C2A,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora mauiana,NRRL Y-48832,FF139C2A
Canca1,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,,,Canca1
F22D2475,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora caseinolytica,NRRL Y-17796,F22D2475
F64A4817,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora agaves,NRRL Y-63662,F64A4817
F06583D6,dikarya,Ascomycota,Saccharomycotina,Trigonopsidomycetes,,Trigonopsidales,Trigonopsidaceae,Tortispora,Tortispora sangerardonensis,NRRL Y-63663,F06583D6
FE999C94,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG145,MG145,FE999C94
F02B62CF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces bulborhizus,K109284,F02B62CF
F581A234,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. JCM 13351,JCM 13351,F581A234
F8BFC48A,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. DKA19,DKA19,F8BFC48A
FF07A874,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. DKA64,DKA64,FF07A874
F7FD3019,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. 'cryptogamus',P5,F7FD3019
