leaf_name,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,STRAIN,LOCUSTAG
TerJ132_1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,,,TerJ132_1
FC510A13,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. J132,J132,FC510A13
F5B37C0B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. Mn162,Mn162,F5B37C0B
FDC24231,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T153,T153,FDC24231
FA9CAC76,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T112,T112,FA9CAC76
F4B26833,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T123_Mx157,T123_Mx157,F4B26833
F247EEA1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. Mi166#008,Mi166#008,F247EEA1
FAC7E5E5,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Ag,K1Ag,FAC7E5E5
F6631C53,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T27,T27,F6631C53
FDE14BB3,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T69sscA,T69sscA,FDE14BB3
F6CBF814,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T159_Od127,T159_Od127,F6CBF814
F4A537EB,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T73sscA,T73sscA,F4A537EB
FEEA6402,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T32_za158,T32_za158,FEEA6402
F9CB86F1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T108,T108,F9CB86F1
F19EA765,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG148,MG148,F19EA765
F4643156,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces heimii,MG15,F4643156
F3E6C2A1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces albuminosus,NeiJiang_2021,F3E6C2A1
F00ED689,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG16,MG16,F00ED689
F86810A6,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces eurrhizus,MG13,F86810A6
F79FEBB7,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T70a,T70a,F79FEBB7
FCE717B5,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Ac,K1Ac,FCE717B5
F485B7DF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces titanicus,K142416,F485B7DF
F8E889AD,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Aa,D41,F8E889AD
FD0BC9DF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Arthromyces,Arthromyces matolae,D32,FD0BC9DF
FFDD9082,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma furcatifolium,D33,FFDD9082
FB6117B7,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 9980TJB,D63,FB6117B7
F7DDD747,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. NHM501043,D31,F7DDD747
F720C95F,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 9174TJB,D64,F720C95F
FD5D1F33,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Blastosporella,Blastosporella zonata,Bzo6,FD5D1F33
F7221618,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe rancida,TRssc25,F7221618
F02885E1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 10521TJB,D62,F02885E1
F132E050,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Myochromella,Myochromella boudieri,TB01,F132E050
F96A91FD,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum atratum,CBS 144462,F96A91FD
Lyoat1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Lyophyllum,,,Lyoat1
FAFDE94C,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum decastes,LRG-d1-1,FAFDE94C
F7D56721,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum shimeji,AT787,F7D56721
FA5786B1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum semitale,D66,FA5786B1
F66342FF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Sphagnurus,Sphagnurus paluster,D49,F66342FF
F3C6D0A1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Tricholomella,Tricholomella constricta,CBS 661.87,F3C6D0A1
FE4A26D7,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Asterophora,Asterophora lycoperdoides,D37,FE4A26D7
FFB3A1B2,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Asterophora,Asterophora parasitica,AP01,FFB3A1B2
F22E078B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Calocybe,Calocybe gambosa,,F22E078B
F3EB814B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Rugosomyces,Rugosomyces carneus,D47,F3EB814B
F7374259,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Calocybe,Calocybe cyanea,D48,F7374259
FE756A6B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Calocybe,Calocybe gangraenosa,D65,FE756A6B
FADEAC3C,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Hypsizygus,Hypsizygus ulmarius,D51,FADEAC3C
F6DEEE36,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Hypsizygus,Hypsizygus marmoreus,HM62,F6DEEE36
Hypma1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Hypsizygus,,,Hypma1
FA9FBCE9,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Entoloma,Entoloma clypeatum,,FA9FBCE9
FBECB4B1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma hemisulphureum,,FBECB4B1
F9B0DCA6,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma matsutake,,F9B0DCA6
Trima3,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,,,Trima3
FC0DB305,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma bakamatsutake,SF-Tf05,FC0DB305
F3C751A1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma saponaceum,MG146,F3C751A1
FB583D9A,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma sp. MG77,MG77,FB583D9A
FEF4D743,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma flavovirens,MG32,FEF4D743
F5ECCF12,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma sp. MG99,MG99,F5ECCF12
Tripop1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,,,Tripop1
FACBCE5B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma cingulatum,,FACBCE5B
FB359B16,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Tricholoma,Tricholoma terreum,MG45,FB359B16
Lepnud1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,,,Lepnud1
FEA9CF8B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,Collybia nuda,CBS 247.69,FEA9CF8B
FB01ECA8,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,Collybia mongolica,X42,FB01ECA8
F27FA784,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,Collybia sordida,Lds1,F27FA784
Cont1119283,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,,,Cont1119283
FE6BB18F,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Clitocybe,Clitocybe nebularis,,FE6BB18F
FD2EE5F5,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Clitopilus,Clitopilus passeckerianus,,FD2EE5F5
F94844CA,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Clitopilus,Clitopilus hobsonii,QYL-10,F94844CA
F67EF305,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Calocybe,Calocybe indica,APK2,F67EF305
FF6E4A88,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Callistosporiaceae,Macrocybe,Macrocybe gigantea,wHADPI064398-61,FF6E4A88
F4682978,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Callistosporiaceae,Macrocybe,Macrocybe sp. IBSDJ1,IBSDJ1,F4682978
FA695614,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,Infundibulicybe,Infundibulicybe gibba,IJFM A808,FA695614
Cligib1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,Infundibulicybe,,,Cligib1
F0EF5729,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Collybia,Collybia sp. MG36,MG36,F0EF5729
F7475F69,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Ripartites,Ripartites tricholoma,,F7475F69
F1F10D17,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Macrocystidia,Macrocystidia cucumis,,F1F10D17
Phohig1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,,,Phohig1
F5C64448,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,Pholiota molesta,CBS 144467,F5C64448
Phocon1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,,,Phocon1
FB5EEE06,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,Pholiota conissans,CIRM-BRFM 674,FB5EEE06
F22BC480,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,Pholiota adiposa,DZS1,F22BC480
F2FB9083,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Pholiota,Pholiota microspora,MG134,F2FB9083
F58C342C,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Stropharia,Stropharia rugosoannulata,QGU27,F58C342C
Hypsu1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Hypholoma,,,Hypsu1
F46A81D0,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Hypholoma,Hypholoma sublateritium,FD-334 SS-4,F46A81D0
F211712A,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Hypholoma,Hypholoma fasciculare,SGAA,F211712A
Phoaln1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Flammula,,,Phoaln1
FFF4176B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Flammula,Flammula alnicola,AH 47727,FFF4176B
Hebcy2,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Hebeloma,,,Hebcy2
F4C9B4FE,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Hebeloma,Hebeloma cylindrosporum,h7,F4C9B4FE
Hebvel2,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Hebeloma,,,Hebvel2
FD344C6D,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe cf. subviscida,CBS 101986,FD344C6D
F86039F6,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe zapotecorum,36797577_XRCPCJ01_C1_3,F86039F6
FDC07453,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe mexicana,Georgia-2-SW,FDC07453
FDC55158,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe tampanensis,sample3,FDC55158
FE4FB096,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe mexicana,FSU 13617,FE4FB096
FA85CB11,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe semilanceata,141588727_JJPSEM-M_A1_3,FA85CB11
F668A0AF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe cyanescens,2631,F668A0AF
F8A9E15D,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe allenii,FT_PsAlle-01_psal1,F8A9E15D
F7172F1F,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe subaeruginosa,BRIP75296,F7172F1F
F9DCE0FF,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe azurescens,FSU 13761,F9DCE0FF
FD084762,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe maluti,494175_JJUP-M_B1_3,FD084762
Psiser1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,,,Psiser1
F6FF1274,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe caeruleorhiza,160500191_JJPCAE-M_D4_1,F6FF1274
F6EE9E7F,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,Psilocybe cubensis,MGC-MH-2018,F6EE9E7F
Psicub1_1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Psilocybe,,,Psicub1_1
Agrpra2,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,,,Agrpra2
F8E2FCA9,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,CBS 102.39,F8E2FCA9
Agrped1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,,,Agrped1
F6D8FC91,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,KDTOL00396,F6D8FC91
F7BA7E6D,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Galerina,Galerina marginata,ZP088764,F7BA7E6D
Galma1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Galerina,,,Galma1
FEFFC962,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Galerina,Galerina sulciceps,ZP082096,FEFFC962
Gymjun1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Gymnopilus,,,Gymjun1
F14565FC,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus junonius,AH 44721,F14565FC
F970420B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus dilepis,SRW20,F970420B
Gymch1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Hymenogastraceae,Gymnopilus,,,Gymch1
F85C3D1B,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Bolbitiaceae,Cyclocybe,Cyclocybe aegerita,,F85C3D1B
FCCA35C8,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe cylindracea,AC9,FCCA35C8
F3B668AA,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Strophariaceae,Agrocybe,Agrocybe chaxingu,MP-N11,F3B668AA
Crafun1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crassisporiaceae,Crassisporium,,,Crafun1
F3A3088A,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crassisporiaceae,Crassisporium,Crassisporium funariophilum,CBS 144457,F3A3088A
F550B9C0,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Cortinariaceae,Phlegmacium,Phlegmacium glaucopus,AT 2004 276,F550B9C0
Corgl3,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Cortinariaceae,Phlegmacium,,,Corgl3
FB792554,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Galeropsidaceae,Panaeolus,Panaeolus papilionaceus,CIRM-BRFM 715,FB792554
Panpap1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Galeropsidaceae,Panaeolus,,,Panpap1
F61AF2BB,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Galeropsidaceae,Panaeolus,Panaeolus cyanescens,2629,F61AF2BB
Phapla1,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crepidotaceae,Crepidotus,,,Phapla1
